SSC_NAME_2011,POA_CODE_2011
Pagewood,2035
Maroubra,2035
Hillsdale,2036
Eastgardens,2036
Port Botany,2036
Matraville,2036
La Perouse,2036
Little Bay,2036
Malabar,2036
Chifley (NSW),2036
Phillip Bay,2036
Glebe (NSW),2037
Forest Lodge,2037
Annandale (NSW),2038
Unclassified (NSW),2039
Rozelle,2039
Leichhardt (NSW),2040
Lilyfield,2040
Balmain,2041
Birchgrove,2041
Balmain East,2041
Enmore (Marrickville - NSW),2042
Newtown (NSW),2042
Erskineville,2043
St Peters (NSW),2044
Sydenham (NSW),2044
Tempe,2044
Haberfield,2045
Russell Lea,2046
Rodd Point,2046
Abbotsford (NSW),2046
Chiswick,2046
Five Dock,2046
Canada Bay,2046
Wareemba,2046
Drummoyne,2047
Stanmore (NSW),2048
Petersham,2049
Lewisham (NSW),2049
Camperdown (NSW),2050
Kensington (NSW),2052
Waverton,2060
North Sydney,2060
McMahons Point,2060
Lavender Bay,2060
Kirribilli,2061
Milsons Point,2061
Cammeray,2062
Northbridge (NSW),2063
Artarmon,2064
Greenwich,2065
St Leonards (NSW),2065
Naremburn,2065
Crows Nest (NSW),2065
Wollstonecraft,2065
Lane Cove North,2066
Lane Cove West,2066
Lane Cove,2066
Riverview (Lane Cove - NSW),2066
Northwood (NSW),2066
Longueville,2066
Linley Point,2066
Chatswood,2067
Chatswood West,2067
Castlecrag,2068
Willoughby East,2068
Willoughby (NSW),2068
Middle Cove,2068
North Willoughby,2068
Roseville,2069
Castle Cove,2069
Roseville Chase,2069
East Lindfield,2070
Lindfield,2070
East Killara,2071
Killara (NSW),2071
Gordon (NSW),2072
Pymble,2073
West Pymble,2073
South Turramurra,2074
Turramurra,2074
North Turramurra,2074
Warrawee,2074
St Ives (NSW),2075
St Ives Chase,2075
Wahroonga,2076
Normanhurst,2076
North Wahroonga,2076
Hornsby Heights,2077
Asquith,2077
Hornsby,2077
Waitara,2077
Mount Colah,2079
Mount Kuring-Gai,2080
Mount Colah,2080
Cowan,2081
Berowra,2081
Berowra Creek,2082
Berrilee,2082
Berowra Heights,2082
Mooney Mooney,2083
Brooklyn (NSW),2083
Milsons Passage,2083
Dangar Island,2083
Terrey Hills,2084
Cottage Point,2084
Ku-Ring-Gai Chase,2084
Duffys Forest,2084
Belrose,2085
Davidson,2085
Frenchs Forest,2086
Forestville (NSW),2087
Killarney Heights,2087
Mosman,2088
Neutral Bay,2089
Kurraba Point,2089
Cremorne Point,2090
Cremorne (NSW),2090
Seaforth (NSW),2092
Clontarf (NSW),2093
Balgowlah,2093
Balgowlah Heights,2093
Manly Vale,2093
North Balgowlah,2093
Fairlight,2094
Manly (NSW),2095
Curl Curl,2096
Freshwater (NSW),2096
Queenscliff (NSW),2096
Collaroy (NSW),2097
Narraweena,2099
Cromer (NSW),2099
Dee Why,2099
North Curl Curl,2099
Beacon Hill,2100
Oxford Falls,2100
North Manly,2100
Brookvale,2100
Allambie Heights,2100
Elanora Heights,2101
Ingleside,2101
North Narrabeen,2101
Narrabeen,2101
Warriewood,2102
Mona Vale,2103
Bayview (NSW),2104
Scotland Island,2105
Church Point,2105
Newport (NSW),2106
Avalon (NSW),2107
Bilgola,2107
Palm Beach (NSW),2108
Great Mackerel Beach,2108
Macquarie Park,2109
Hunters Hill,2110
Woolwich,2110
Gladesville,2111
Tennyson Point,2111
Huntleys Point,2111
Henley,2111
Huntleys Cove,2111
Denistone East,2112
Ryde,2112
Putney,2112
Macquarie Park,2113
North Ryde,2113
East Ryde,2113
Melrose Park (NSW),2114
Denistone,2114
Denistone West,2114
Meadowbank (NSW),2114
West Ryde,2114
Ermington,2115
Rydalmere,2116
Dundas (NSW),2117
Telopea,2117
Oatlands (NSW),2117
Dundas Valley,2117
Carlingford,2118
Beecroft,2119
Cheltenham (NSW),2119
Thornleigh,2120
Westleigh,2120
Pennant Hills,2120
Epping (NSW),2121
North Epping,2121
Eastwood (NSW),2122
Marsfield,2122
West Pennant Hills,2125
Cherrybrook,2126
Newington (NSW),2127
Sydney Olympic Park,2127
Wentworth Point,2127
Silverwater (Auburn - NSW),2128
Homebush West,2129
Summer Hill (Ashfield - NSW),2130
Ashfield (NSW),2131
Croydon (NSW),2132
Croydon Park (NSW),2133
Burwood (NSW),2134
Strathfield (NSW),2135
Enfield (NSW),2136
Burwood Heights,2136
Strathfield South,2136
Concord,2137
Breakfast Point,2137
Cabarita (NSW),2137
Mortlake (NSW),2137
North Strathfield,2137
Concord West,2138
Sydney Olympic Park,2138
Liberty Grove,2138
Rhodes,2138
Concord West,2139
Homebush West,2140
Homebush (NSW),2140
Strathfield (NSW),2140
Lidcombe,2141
Berala,2141
Rookwood (NSW),2141
Granville (NSW),2142
Clyde (NSW),2142
South Granville,2142
Holroyd,2142
Rosehill (NSW),2142
Potts Hill,2143
Birrong,2143
Regents Park (NSW),2143
Auburn (NSW),2144
Pemulwuy,2145
Greystanes,2145
South Wentworthville,2145
Wentworthville,2145
Girraween (NSW),2145
Westmead,2145
Pendle Hill,2145
Mays Hill,2145
Constitution Hill,2145
Toongabbie (NSW),2146
Old Toongabbie,2146
Seven Hills (NSW),2147
Lalor Park,2147
Kings Langley,2147
Blacktown,2148
Kings Park (NSW),2148
Marayong,2148
Prospect (NSW),2148
Arndell Park,2148
Parramatta,2150
Harris Park,2150
North Parramatta,2151
North Rocks,2151
Northmead,2152
Baulkham Hills,2153
Bella Vista,2153
Winston Hills,2153
Castle Hill (NSW),2154
Kellyville,2155
Rouse Hill,2155
Beaumont Hills,2155
Kellyville Ridge,2155
Glenhaven,2156
Kenthurst,2156
Annangrove,2156
Glenorie,2157
Canoelands,2157
Dural (Hornsby - NSW),2158
Middle Dural,2158
Galston,2159
Arcadia (NSW),2159
Fiddletown,2159
Merrylands,2160
Merrylands West,2160
Old Guildford,2161
Yennora,2161
Guildford (NSW),2161
Guildford West,2161
Chester Hill,2162
Sefton,2162
Villawood,2163
Lansdowne (Bankstown - NSW),2163
Carramar (NSW),2163
Woodpark,2164
Smithfield (NSW),2164
Wetherill Park,2164
Fairfield East,2165
Fairfield (NSW),2165
Fairfield West,2165
Fairfield Heights,2165
Cabramatta,2166
Lansvale,2166
Canley Vale,2166
Cabramatta West,2166
Canley Heights,2166
Glenfield (NSW),2167
Busby,2168
Heckenberg,2168
Miller,2168
Ashcroft,2168
Sadleir,2168
Green Valley (NSW),2168
Hinchinbrook (NSW),2168
Cartwright,2168
Mount Pritchard,2170
Casula,2170
Moorebank,2170
Chipping Norton,2170
Hammondville,2170
Liverpool,2170
Warwick Farm,2170
Prestons,2170
Lurnea,2170
Cecil Hills,2171
Elizabeth Hills,2171
West Hoxton,2171
Hoxton Park,2171
Horningsea Park,2171
Middleton Grange,2171
Voyager Point,2172
Sandy Point (NSW),2172
Pleasure Point,2172
Holsworthy,2173
Wattle Grove (NSW),2173
Edmondson Park,2174
Horsley Park,2175
Bossley Park,2176
Abbotsbury,2176
Edensor Park,2176
Greenfield Park,2176
Prairiewood,2176
Wakeley,2176
St Johns Park,2176
Bonnyrigg Heights,2177
Bonnyrigg,2177
Kemps Creek,2178
Cecil Park,2178
Mount Vernon,2178
Austral,2179
Leppington,2179
Bankstown,2190
Greenacre,2190
Mount Lewis,2190
Belfield,2191
Belmore,2192
Canterbury (NSW),2193
Hurlstone Park,2193
Ashbury,2193
Campsie,2194
Lakemba,2195
Wiley Park,2195
Punchbowl (Canterbury - NSW),2196
Roselands,2196
Bass Hill,2197
Georges Hall,2198
Yagoona,2199
Bankstown,2200
Condell Park,2200
Bankstown Aerodrome,2200
Dulwich Hill,2203
Marrickville,2204
Arncliffe,2205
Wolli Creek,2205
Turrella,2205
Clemton Park,2206
Earlwood,2206
Bardwell Park,2207
Bardwell Valley,2207
Bexley,2207
Bexley North,2207
Kingsgrove,2208
Beverly Hills,2209
Narwee,2209
Riverwood,2210
Peakhurst,2210
Lugarno,2210
Peakhurst Heights,2210
Padstow,2211
Padstow Heights,2211
Revesby,2212
Revesby Heights,2212
Panania,2213
East Hills,2213
Picnic Point,2213
Milperra,2214
Kyeemagh,2216
Brighton-le-Sands,2216
Rockdale,2216
Banksia,2216
Kogarah,2217
Beverley Park,2217
Kogarah Bay,2217
Monterey,2217
Ramsgate,2217
Ramsgate Beach,2217
Carlton (NSW),2218
Allawah,2218
Sandringham (NSW),2219
Dolls Point,2219
Sans Souci,2219
Hurstville,2220
Hurstville Grove,2220
South Hurstville,2221
Blakehurst,2221
Kyle Bay,2221
Connells Point,2221
Carss Park,2221
Penshurst (NSW),2222
Oatley,2223
Mortdale,2223
Sylvania Waters,2224
Sylvania,2224
Kangaroo Point (NSW),2224
Oyster Bay,2225
Bonnet Bay,2226
Jannali,2226
Como (NSW),2226
Gymea Bay,2227
Gymea,2227
Miranda (NSW),2228
Yowie Bay,2228
Caringbah South,2229
Caringbah,2229
Port Hacking,2229
Dolans Bay,2229
Lilli Pilli (Sutherland - NSW),2229
Taren Point,2229
Cronulla,2230
Bundeena,2230
Woolooware,2230
Maianbar,2230
Burraneer,2230
Kurnell,2231
Grays Point,2232
Loftus,2232
Woronora,2232
Kareela,2232
Kirrawee,2232
Sutherland (NSW),2232
Woronora Heights,2233
Engadine,2233
Yarrawarrah,2233
Heathcote (NSW),2233
Waterfall,2233
Royal National Park,2233
Illawong,2234
Alfords Point,2234
Barden Ridge,2234
Menai,2234
Bangor (NSW),2234
Lucas Heights,2234
Somersby,2250
Peats Ridge,2250
Central Mangrove,2250
Mangrove Mountain,2250
Kulnura,2250
Bar Point,2250
Erina,2250
Matcham,2250
Holgate,2250
Springfield (Gosford - NSW),2250
North Gosford,2250
West Gosford,2250
Gosford,2250
East Gosford,2250
Point Frederick,2250
Kariong,2250
Narara,2250
Lisarow,2250
Niagara Park,2250
Mount Elliot (NSW),2250
Point Clare,2250
Tascott,2250
Wyoming,2250
Avoca Beach,2251
Copacabana,2251
Macmasters Beach,2251
Bensville,2251
Bouddi,2251
Kincumber South,2251
Green Point (Gosford - NSW),2251
Kincumber,2251
Picketts Valley,2251
Saratoga,2251
Davistown,2251
Yattalunga (NSW),2251
Little Wobby,2256
Koolewong,2256
Patonga,2256
Pearl Beach,2256
Woy Woy,2256
Horsfield Bay,2256
Phegans Bay,2256
Woy Woy Bay,2256
Blackwall (NSW),2256
Killcare Heights,2257
Empire Bay,2257
Wagstaffe,2257
St Huberts Island,2257
Killcare,2257
Daleys Point,2257
Box Head,2257
Pretty Beach (Gosford - NSW),2257
Umina Beach,2257
Ettalong Beach,2257
Booker Bay,2257
Ourimbah,2258
Fountaindale,2258
Kangy Angy,2258
Kanwal,2259
Wyongah,2259
Tuggerawong,2259
Rocky Point (NSW),2259
Jilliby,2259
Yarramalong,2259
Wyong Creek,2259
Ravensdale,2259
Dooralong,2259
Lake Munmorah,2259
Chain Valley Bay,2259
Mannering Park,2259
Wybung,2259
Gwandalan,2259
Summerland Point,2259
Crangan Bay,2259
Point Wolstoncroft,2259
Tuggerah,2259
Mardi,2259
Tacoma South,2259
Hamlyn Terrace,2259
Woongarrah,2259
Warnervale,2259
Wadalba,2259
Wallarah,2259
Watanobbi,2259
Wyong,2259
Tacoma,2259
Wyee,2259
Wyee Point,2259
Erina Heights,2260
North Avoca,2260
Terrigal,2260
Wamberal,2260
Forresters Beach,2260
Tumbi Umbi,2261
Bateau Bay,2261
Killarney Vale,2261
Glenning Valley,2261
Berkeley Vale,2261
Chittaway Point,2261
Chittaway Bay,2261
Long Jetty,2261
Shelly Beach (NSW),2261
Blue Bay,2261
Toowoon Bay,2261
The Entrance North,2261
Magenta (NSW),2261
The Entrance,2261
Blue Haven,2262
San Remo (NSW),2262
Doyalson,2262
Colongra,2262
Buff Point,2262
Budgewoi,2262
Halekulani,2262
Budgewoi Peninsula,2262
Doyalson North,2262
Gorokan,2263
Charmhaven,2263
Lake Haven,2263
Toukley,2263
Canton Beach,2263
Noraville,2263
Norah Head,2263
Balcolyn,2264
Yarrawonga Park,2264
Mirrabooka (NSW),2264
Sunshine (NSW),2264
Silverwater (Lake Macquarie - NSW),2264
Bonnells Bay,2264
Brightwaters,2264
Morisset Park,2264
Windermere Park,2264
Morisset,2264
Mandalong,2264
Dora Creek,2264
Eraring,2264
Cooranbong,2265
Martinsville,2265
Wangi Wangi,2267
Barnsley,2278
Killingworth (NSW),2278
Wakefield,2278
Jewells,2280
Belmont North,2280
Belmont (NSW),2280
Floraville,2280
Marks Point,2280
Belmont South,2280
Valentine (NSW),2280
Croudace Bay,2280
Blacksmiths,2281
Pelican (NSW),2281
Caves Beach,2281
Nords Wharf,2281
Swansea (NSW),2281
Swansea Heads,2281
Catherine Hill Bay,2281
Pinny Beach,2281
Eleebana,2282
Warners Bay,2282
Lakelands (NSW),2282
Fennell Bay,2283
Bolton Point,2283
Blackalls Park,2283
Toronto,2283
Kilaben Bay,2283
Coal Point,2283
Awaba,2283
Ryhope,2283
Fassifern (NSW),2283
Carey Bay,2283
Buttaba,2283
Fishing Point,2283
Rathmines,2283
Arcadia Vale,2283
Balmoral (Lake Macquarie - NSW),2283
Argenton,2284
Speers Point,2284
Boolaroo,2284
Booragul,2284
Marmong Point,2284
Woodrising,2284
Teralba,2284
Cardiff (NSW),2285
Glendale (NSW),2285
Macquarie Hills,2285
Cardiff South,2285
Cardiff Heights,2285
Edgeworth,2285
Cameron Park,2285
Holmesville,2286
Seahampton,2286
West Wallsend,2286
Rankin Park,2287
Elermore Vale,2287
Maryland (Newcastle - NSW),2287
Fletcher (NSW),2287
Minmi,2287
Birmingham Gardens,2287
Wallsend,2287
Highfields (NSW),2289
Garden Suburb,2289
Adamstown Heights,2289
Kotara,2289
Adamstown,2289
Kotara South,2289
Kahibah,2290
Charlestown (NSW),2290
Whitebridge,2290
Gateshead,2290
Dudley,2290
Hillsborough (Lake Macquarie - NSW),2290
Tingira Heights,2290
Mount Hutton (NSW),2290
Redhead,2290
Merewether Heights,2291
Merewether,2291
The Junction,2291
Broadmeadow,2292
Hamilton North,2292
Maryville,2293
Wickham (NSW),2293
Carrington (Newcastle - NSW),2294
Stockton (NSW),2295
Fern Bay,2295
Islington,2296
Tighes Hill,2297
Georgetown (NSW),2298
Waratah West,2298
Waratah (NSW),2298
Lambton,2299
Jesmond,2299
North Lambton,2299
Cooks Hill,2300
Newcastle,2300
Newcastle East,2300
The Hill,2300
Bar Beach,2300
Wickham (NSW),2300
Newcastle West,2302
Hamilton South,2303
Hamilton (NSW),2303
Hamilton East,2303
Warabrook,2304
Mayfield West,2304
Mayfield (Newcastle - NSW),2304
Mayfield East,2304
Kooragang,2304
Sandgate (NSW),2304
New Lambton Heights,2305
New Lambton,2305
Lambton,2305
Windale,2306
Shortland,2307
Callaghan,2308
Gresford,2311
Allynbrook,2311
East Gresford,2311
Nabiac,2312
Williamtown,2314
Nelson Bay (NSW),2315
Fingal Bay,2315
Corlette,2315
Shoal Bay (NSW),2315
Anna Bay,2316
Boat Harbour (Port Stephens - NSW),2316
Bobs Farm,2316
One Mile (NSW),2316
Fishermans Bay,2316
Taylors Beach (NSW),2316
Salamander Bay,2317
Soldiers Point,2317
Ferodale,2318
Medowie,2318
Salt Ash,2318
Swan Bay (Port Stephens - NSW),2318
Williamtown,2318
Fullerton Cove,2318
Lemon Tree Passage,2319
Tanilba Bay,2319
Mallabula,2319
Pokolbin,2320
Rothbury,2320
Maitland (NSW),2320
South Maitland,2320
Louth Park,2320
Horseshoe Bend,2320
Largs,2320
Bolwarra Heights,2320
Lorn,2320
Bolwarra (NSW),2320
Mindaribba,2320
Rutherford,2320
Oakhampton,2320
Aberglasslyn,2320
Rosebrook (NSW),2320
Telarah,2320
Farley,2320
Windella,2320
Wallalong,2320
Glen Oak,2320
Allandale (NSW),2321
Clarence Town,2321
Glen William,2321
Heddon Greta,2321
Cliftleigh,2321
Gillieston Heights,2321
Raworth,2321
Morpeth,2321
Luskintyre,2321
Lochinvar,2321
Duckenfield,2321
Duns Creek,2321
Hinton,2321
Woodville (NSW),2321
Thornton (NSW),2322
Chisholm (NSW),2322
Tomago,2322
Woodberry,2322
Beresfield,2322
Tarro,2322
Black Hill (NSW),2322
Hexham (NSW),2322
Mulbring,2323
Black Hill (NSW),2323
Mount Vincent,2323
East Maitland,2323
Metford,2323
Tenambit,2323
Ashtonfield,2323
Pitnacree,2323
Millers Forest,2324
Raymond Terrace,2324
Heatherbrae,2324
Eagleton,2324
Seaham,2324
Brandy Hill,2324
East Seaham,2324
Nelsons Plains,2324
Osterley (NSW),2324
Tea Gardens,2324
Bundabah,2324
Hawks Nest,2324
Pindimar,2324
North Arm Cove,2324
Unclassified (NSW),2324
Karuah,2324
Limeburners Creek (Great Lakes - NSW),2324
Lovedale,2325
Cessnock,2325
Nulkaba,2325
Aberdare,2325
Kearsley,2325
Bellbird,2325
Bellbird Heights,2325
Ellalong,2325
Kitchener,2325
Abernethy,2325
Millfield,2325
Paxton,2325
Elrington,2325
Quorrobolong,2325
Mount View,2325
Congewai,2325
Wollombi,2325
Laguna,2325
Abermain,2326
Weston (NSW),2326
Neath,2326
Sawyers Gully,2326
Bishops Bridge,2326
Kurri Kurri,2327
Stanford Merthyr,2327
Pelaw Main,2327
Denman,2328
Jerrys Plains,2328
Martindale,2328
Merriwa (NSW),2329
Cassilis (NSW),2329
Hunterview,2330
Singleton (NSW),2330
Whittingham,2330
Glenridding,2330
Wattle Ponds,2330
Singleton Heights,2330
Redbournberry,2330
McDougalls Hill,2330
Darlington (Singleton - NSW),2330
Broke (NSW),2330
Mount Thorley,2330
Putty,2330
Bulga (NSW),2330
Jerrys Plains,2330
Maison Dieu,2330
Camberwell (NSW),2330
Bridgman,2330
Mount Olive (Singleton - NSW),2330
Reedy Creek (NSW),2330
Sedgefield,2330
Mitchells Flat,2330
Glendon Brook,2330
Muswellbrook,2333
Giants Creek,2333
Castle Rock,2333
Sandy Hollow,2333
Muscle Creek,2333
Greta (NSW),2334
Lower Belford,2335
Branxton,2335
North Rothbury,2335
East Branxton,2335
Leconfield,2335
Lambs Valley (Singleton - NSW),2335
Aberdeen (NSW),2336
Rouchel,2336
Scone,2337
Middle Brook,2337
Segenhoe,2337
Wingen,2337
Parkville (NSW),2337
Gundy,2337
Moonan Flat,2337
Bunnan,2337
Moobi,2337
Blandford,2338
Glenrock (NSW),2338
Murrurundi,2338
Willow Tree,2339
Parraweena,2339
Carroll,2340
Hillvue,2340
Calala,2340
Kingswood (Tamworth - NSW),2340
West Tamworth,2340
South Tamworth,2340
North Tamworth,2340
Tamworth,2340
East Tamworth,2340
Oxley Vale,2340
Nemingha,2340
Taminda,2340
Westdale (Tamworth - NSW),2340
Bithramere,2340
Wallamore,2340
Somerton (NSW),2340
Moore Creek,2340
Loomberah,2340
Daruka,2340
Hallsville,2340
Nundle,2340
Dungowan,2340
Piallamore,2340
Woolomin,2340
Warral,2340
Timbumburi,2340
Werris Creek,2341
Piallaway,2342
Currabubula,2342
Quirindi,2343
Wallabadah,2343
Pine Ridge,2343
Spring Ridge,2343
Caroona,2343
Duri,2344
Winton (NSW),2344
Attunga,2345
Upper Manilla,2346
Manilla,2346
Upper Horton,2347
Barraba,2347
Woodsreef,2347
Armidale,2350
Boorolong,2350
Thalgarrah,2350
Aberfoyle,2350
Hillgrove (Armidale Dumaresq - NSW),2350
Ebor,2350
Saumarez Ponds,2350
Invergowrie,2350
Castle Doyle,2350
Armidale,2351
Kootingal,2352
Limbri,2352
Tintinhull,2352
Moonbi,2353
Kentucky,2354
Walcha,2354
Woolbrook,2354
Niangala,2354
Nowendoc,2354
Yarrowitch,2354
Bendemeer,2355
Watsons Creek (NSW),2355
Coonabarabran,2357
Tannabar,2357
Dandry,2357
Goolhi,2357
Ulamambri,2357
Bomera,2357
Uralla (NSW),2358
Arding,2358
Salisbury Plains,2358
Yarrowyck,2358
Balala,2358
Rocky River (Uralla - NSW),2358
Bundarra,2359
Inverell,2360
Gilgai,2360
Graman,2360
Bukkulla,2360
Nullamanna,2360
Elsmore,2360
Bundarra,2360
Gum Flat,2360
Mount Russell,2360
Ashford (NSW),2361
Guyra,2365
South Guyra,2365
Ben Lomond (NSW),2365
Black Mountain (NSW),2365
Glencoe (NSW),2365
Tingha,2369
Stonehenge (NSW),2370
Glen Innes,2370
Emmaville,2370
Dundee,2370
Red Range,2370
Emmaville,2371
Deepwater (NSW),2371
Wellington Vale,2371
Tenterfield,2372
Liston,2372
Sandy Flat,2372
Mole River,2372
Gunnedah,2380
Emerald Hill,2380
Marys Mount,2380
Keepit,2380
Curlewis (NSW),2381
Tambar Springs,2381
Premer,2381
Boggabri,2382
Burren Junction,2386
Wee Waa,2388
Merah North,2388
Yarrie Lake,2388
Gwabegar,2388
Narrabri,2390
Eulah Creek,2390
Baan Baa,2390
Jacks Creek,2390
Binnaway,2395
Baradine,2396
Bugaldie,2396
Kenebri,2396
Bellata,2397
Pallamallawa,2399
Biniguy,2399
Moree,2400
Pallamallawa,2400
Ashley,2400
Mallowa,2400
Gravesend,2401
Warialda,2402
Warialda Rail,2402
Delungra,2403
Bingara,2404
Bangheet,2404
Riverview (Gwydir - NSW),2404
Garah,2405
Mungindi (NSW),2406
North Star,2408
Boggabilla,2409
Yetman,2410
Stroud Road,2415
Dungog,2420
Martins Creek,2420
Fosterton,2420
Bandon Grove,2420
Bendolba,2420
Alison (Dungog - NSW),2420
Wallarobba,2420
Brookfield (NSW),2420
Paterson (NSW),2421
Torryburn (Dungog - NSW),2421
Vacy,2421
Wards River,2422
Gloucester,2422
Craven,2422
Faulkland,2422
Waukivory,2422
Bundook,2422
Barrington (NSW),2422
Bowman,2422
Belbora,2422
Bulahdelah,2423
Nerong,2423
Boolambayte,2423
Markwell,2423
Violet Hill,2423
Bungwahl,2423
Wootton,2423
Coolongolook,2423
Caffreys Flat,2424
Mount George (NSW),2424
Stroud,2425
Allworth,2425
Booral (NSW),2425
Coopernook,2426
Harrington,2427
Crowdy Head,2427
Forster (NSW),2428
Green Point (Great Lakes - NSW),2428
Darawank,2428
Tarbuck Bay,2428
Coomba Park,2428
Smiths Lake,2428
Whoota,2428
Coomba Bay,2428
Elizabeth Beach,2428
Boomerang Beach,2428
Tuncurry,2428
Comboyne,2429
Yarratt Forest,2429
Killabakh,2429
Cedar Party,2429
Marlee,2429
Elands,2429
Wherrol Flat,2429
Killawarra (NSW),2429
Burrell Creek,2429
Kimbriki,2429
Krambach,2429
Dyers Crossing,2429
Firefly,2429
Wingham,2429
Failford,2430
Diamond Beach,2430
Manning Point,2430
Mitchells Island,2430
Oxley Island,2430
Old Bar,2430
Black Head,2430
Red Head,2430
Rainbow Flat,2430
Hallidays Point,2430
Koorainghat,2430
Wallabi Point,2430
Tallwoods Village,2430
Taree,2430
Cundletown,2430
Purfleet,2430
Taree South,2430
Pampoolah,2430
Glenthorne,2430
Tinonee,2430
Dumaresq Island,2430
Moto,2430
Lansdowne Forest,2430
Upper Lansdowne,2430
Lansdowne (Greater Taree - NSW),2430
Kundle Kundle,2430
Bootawa,2430
Hillville,2430
Possum Brush,2430
South West Rocks,2431
Arakoon,2431
Jerseyville,2431
Kendall,2439
Logans Crossing,2439
Kew (NSW),2439
